BN Part Number,OEM #,LBS.,,,Pt,Pd,Rh,Pt 100,Pd 100,Rh 100,Pt 97 , Pd 96.5 ,Rh 88,Refining , Treatment Charges,Interest Charges,Gross ,Net,,,,Per Lbs $
LARGE BREAD,12563201,3.96,0.99,4.00,181,4055,165,0.01,0.23,0.01,0.01,0.23,0.01,0.49,3.17,#VALUE!,644.37,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
LARGE BREAD,25317905,2.9007,0.99,2.93,10,3921,121,0.00,0.17,0.01,0.00,0.16,0.00,0.33,2.32,#VALUE!,428.11,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
LARGE BREAD,25160732,3.7224,0.99,3.76,1377,56,344,0.07,0.00,0.02,0.07,0.00,0.02,0.18,2.98,#VALUE!,325.61,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
LARGE BREAD,24508105,4.257,0.99,4.30,138,4882,255,0.01,0.30,0.02,0.01,0.29,0.01,0.63,3.41,#VALUE!,875.34,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
LARGE BREAD,24506936,3.6333,0.99,3.67,1596,4216,205,0.08,0.22,0.01,0.08,0.22,0.01,0.61,2.91,#VALUE!,710.44,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
LARGE BREAD,12596535,3.2472,0.99,3.28,4,3554,716,0.00,0.17,0.03,0.00,0.16,0.03,0.38,2.60,#VALUE!,813.16,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
LARGE BREAD,24508312,3.9996,0.99,4.04,176,5576,289,0.01,0.33,0.02,0.01,0.31,0.01,0.68,3.20,#VALUE!,938.63,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
LARGE BREAD,25145152,3.3462,0.99,3.38,881,2048,212,0.04,0.10,0.01,0.04,0.10,0.01,0.29,2.68,#VALUE!,395.25,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
LARGE BREAD,25131790,3.4155,0.99,3.45,1016,18,101,0.05,0.00,0.01,0.05,0.00,0.00,0.11,2.73,#VALUE!,117.44,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
LARGE BREAD,24507564,4.0194,0.99,4.06,124,4463,254,0.01,0.26,0.01,0.01,0.25,0.01,0.55,3.22,#VALUE!,771.59,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
LARGE BREAD,25322854,3.6135,0.99,3.65,230,3839,178,0.01,0.20,0.01,0.01,0.20,0.01,0.43,2.89,#VALUE!,574.82,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
LARGE BREAD,24504813,3.4848,0.99,3.52,1153,15,104,0.06,0.00,0.01,0.06,0.00,0.00,0.12,2.79,#VALUE!,128.26,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
SMALL BREAD,22685816,2.4948,0.99,2.52,798,3433,189,0.03,0.12,0.01,0.03,0.12,0.01,0.31,2.00,#VALUE!,390.12,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
SMALL BREAD,22713718,2.673,0.99,2.7,357,2863,140,0.01,0.11,0.01,0.01,0.11,0.00,0.25,2.14,#VALUE!,327.85,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
SMALL BREAD,25325206,2.475,0.99,2.5,691,3578,155,0.02,0.13,0.01,0.02,0.12,0.00,0.31,1.98,#VALUE!,378.44,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
SMALL BREAD,22712078,2.6235,0.99,2.65,1138,3220,247,0.04,0.12,0.01,0.04,0.12,0.01,0.34,2.10,#VALUE!,434.46,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
SMALL BREAD,12570900,2.9205,0.99,2.95,1110,2264,280,0.05,0.10,0.01,0.05,0.09,0.01,0.30,2.34,#VALUE!,412.63,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
SMALL BREAD,12580396,2.574,0.99,2.6,313,3372,116,0.01,0.13,0.00,0.01,0.12,0.00,0.27,2.06,#VALUE!,343.70,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
SMALL BREAD,12582329,2.5938,0.99,2.62,2,2964,249,0.00,0.11,0.01,0.00,0.11,0.01,0.23,2.08,#VALUE!,367.83,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
SMALL BREAD,22720525,2.6037,0.99,2.63,492,3762,211,0.02,0.14,0.01,0.02,0.14,0.01,0.33,2.08,#VALUE!,434.03,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
SMALL BREAD,25325208,2.574,0.99,2.6,967,3874,250,0.04,0.15,0.01,0.04,0.14,0.01,0.37,2.06,#VALUE!,474.83,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
SMALL BREAD,12574993,2.9205,0.99,2.95,575,2264,252,0.02,0.10,0.01,0.02,0.09,0.01,0.25,2.34,#VALUE!,374.79,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
SMALL BREAD,12564250,2.7324,0.99,2.76,1243,2470,320,0.05,0.10,0.01,0.05,0.09,0.01,0.31,2.19,#VALUE!,430.06,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
SMALL BREAD,10301642,2.6235,0.99,2.65,1084,2454,180,0.04,0.09,0.01,0.04,0.09,0.01,0.27,2.10,#VALUE!,334.99,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
SMALL BREAD,25325228,2.673,0.99,2.7,1377,2858,201,0.05,0.11,0.01,0.05,0.11,0.01,0.33,2.14,#VALUE!,397.39,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
SMALL BREAD,12579528,2.6334,0.99,2.66,359,3399,127,0.01,0.13,0.00,0.01,0.13,0.00,0.29,2.11,#VALUE!,361.18,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
SMALL BREAD,10330021,2.5839,0.99,2.61,594,2424,241,0.02,0.09,0.01,0.02,0.09,0.01,0.24,2.07,#VALUE!,339.91,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
SMALL BREAD,25325231,2.673,0.99,2.7,1181,3101,280,0.05,0.12,0.01,0.04,0.12,0.01,0.34,2.14,#VALUE!,451.19,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
SMALL BREAD,10343185,2.673,0.99,2.7,496,4404,181,0.02,0.17,0.01,0.02,0.17,0.01,0.38,2.14,#VALUE!,484.63,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
SMALL BREAD,25165597,2.2968,0.99,2.32,2127,26,564,0.07,0.00,0.02,0.07,0.00,0.02,0.17,1.84,#VALUE!,320.36,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
SMALL BREAD,25315415,2.772,0.99,2.8,296,4618,353,0.01,0.19,0.01,0.01,0.18,0.01,0.41,2.22,#VALUE!,605.30,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
SMALL BREAD,12572103,2.0592,0.99,2.08,1185,2299,88,0.04,0.07,0.00,0.03,0.07,0.00,0.21,1.65,#VALUE!,219.30,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
SMALL BREAD,12574994,2.7225,0.99,2.75,528,2102,234,0.02,0.08,0.01,0.02,0.08,0.01,0.22,2.18,#VALUE!,324.17,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
SMALL BREAD,22685817,2.6631,0.99,2.69,1156,3316,228,0.04,0.13,0.01,0.04,0.12,0.01,0.35,2.13,#VALUE!,440.05,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
SMALL BREAD,12588070,2.1582,0.99,2.18,1542,2828,244,0.05,0.09,0.01,0.05,0.09,0.01,0.28,1.73,#VALUE!,341.70,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
SMALL BREAD,12598221,2.4948,0.99,2.52,22,4083,971,0.00,0.15,0.04,0.00,0.14,0.03,0.35,2.00,#VALUE!,789.64,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
SMALL BREAD,22716957,2.574,0.99,2.6,648,3438,175,0.02,0.13,0.01,0.02,0.12,0.01,0.31,2.06,#VALUE!,390.51,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
SMALL BREAD,12582030,2.7522,0.99,2.78,1209,2607,313,0.05,0.10,0.01,0.05,0.10,0.01,0.32,2.20,#VALUE!,440.08,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
SMALL BREAD,25325233,2.2473,0.99,2.27,418,3233,158,0.01,0.11,0.01,0.01,0.10,0.00,0.24,1.80,#VALUE!,311.70,#VALUE!,0.68,#VALUE!,#VALUE!,#VALUE!
